anime_id,title_english,type,episodes,rating,rank,popularity,members,source,duration,genre,studio,year
53874,Pokémon: To Be a Pokémon Master,TV,11.0,7.58,1686.0,4572,27527,Game,24 min per ep,"Action, Adventure, Comedy, Fantasy",OLM,2023
52193,Akiba Maid War,TV,12.0,7.58,1668.0,1436,179022,Original,23 min per ep,"Action, Comedy",P.A. Works,2022
34973,Love Live! Sunshine!! Season 2,TV,13.0,7.58,1683.0,1968,121220,Other,23 min per ep,Slice of Life,Sunrise,2017
96,Mobile Fighter G Gundam,TV,49.0,7.58,1682.0,2755,73030,Original,24 min per ep,"Action, Drama, Romance, Sci-Fi",Sunrise,1994
39597,Sword Art Online: Alicization - War of Underworld,TV,12.0,7.58,1660.0,256,810935,Light novel,23 min per ep,"Action, Adventure, Fantasy",A-1 Pictures,2019
3515,Saint Seiya: The Hades Chapter - Elysion,OVA,6.0,7.58,1655.0,3670,43353,Manga,24 min per ep,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,2008
24405,World Trigger,TV,73.0,7.58,1663.0,547,449817,Manga,23 min per ep,"Action, Sci-Fi",Toei Animation,2014
25341,Ace of Diamond OVA,OVA,3.0,7.58,1674.0,5421,18031,Manga,23 min per ep,Sports,"Production I.G, Madhouse",2014
5751,The Prince of Tennis: Another Story - Messages From Past and Future,OVA,4.0,7.58,1661.0,5661,16212,Manga,24 min per ep,Sports,M.S.C,2009
21755,The Prince of Tennis II vs Genius10,OVA,10.0,7.58,1657.0,5146,20709,Manga,24 min per ep,Sports,"Production I.G, M.S.C",2014
10350,Hakuoki: Demon of the Fleeting Blossom - A Memory of Snow Flowers,OVA,6.0,7.58,1679.0,4483,28689,Visual novel,23 min per ep,"Action, Drama, Fantasy",Studio Deen,2011
160,"Now and Then, Here and There",TV,13.0,7.58,1679.0,1634,154267,Original,24 min per ep,"Adventure, Drama, Fantasy, Sci-Fi",AIC,1999
22101,The World is Still Beautiful,TV,12.0,7.58,1658.0,790,330931,Manga,22 min per ep,"Adventure, Fantasy, Romance",Pierrot,2014
58448,Immortality 3rd Season,ONA,16.0,7.57,1707.0,12993,1489,Web novel,19 min per ep,"Action, Adventure, Fantasy",Oriental Creative Color,2024
57995,Fairies Albums 4,ONA,12.0,7.57,1712.0,11886,2116,Novel,23 min per ep,"Adventure, Mystery, Supernatural",CMC Media,2024
57390,Wonderful Precure!,TV,50.0,7.57,1706.0,7399,8281,Original,23 min per ep,Action,Toei Animation,2024
57217,The Magical Girl and the Evil Lieutenant Used to Be Archenemies,TV,12.0,7.57,1690.0,2369,92563,Manga,12 min per ep,"Comedy, Romance",Bones,2024
37341,Laid-Back Camp Specials,Special,3.0,7.57,1708.0,3091,59216,Manga,8 min per ep,Slice of Life,C-Station,2018
36474,Sword Art Online: Alicization,TV,24.0,7.57,1702.0,148,1101837,Light novel,24 min per ep,"Action, Adventure, Fantasy",A-1 Pictures,2018
36470,Tada Never Falls in Love,TV,13.0,7.57,1703.0,834,315438,Original,23 min per ep,"Comedy, Romance",Doga Kobo,2018
37958,The Morose Mononokean II,TV,13.0,7.57,1717.0,3141,57086,Web manga,23 min per ep,"Comedy, Supernatural",Pierrot Plus,2019
31931,Full Metal Panic! Invisible Victory,TV,12.0,7.57,1717.0,2196,103880,Light novel,24 min per ep,Action,Xebec,2018
106,Hana Yori Dango,TV,51.0,7.57,1721.0,2934,65115,Manga,24 min per ep,"Drama, Romance",Toei Animation,1996
41433,Akudama Drive,TV,12.0,7.57,1708.0,526,466360,Original,24 min per ep,"Action, Sci-Fi, Suspense",Pierrot,2020
24151,Blue Spring Ride OVA,OVA,2.0,7.57,1710.0,1629,154754,Manga,21 min per ep,Romance,Production I.G,2014
1356,Fist of the North Star 2,TV,43.0,7.57,1722.0,4181,33537,Manga,25 min per ep,"Action, Drama, Sci-Fi",Toei Animation,1987
1008,Ranma 1/2 Special: Reawakening Memories,OVA,2.0,7.57,1699.0,5136,20845,Manga,30 min per ep,"Comedy, Drama, Romance",Studio Deen,1994
969,Tsubasa RESERVoir CHRoNiCLE Season Two,TV,26.0,7.57,1705.0,1972,120956,Manga,25 min per ep,"Action, Adventure, Drama, Fantasy, Romance",Bee Train,2006
2985,Neuro: Supernatural Detective,TV,25.0,7.57,1694.0,2820,69984,Manga,23 min per ep,"Comedy, Mystery, Supernatural",Madhouse,2007
1699,Romeo x Juliet,TV,24.0,7.57,1699.0,1376,189052,Book,24 min per ep,"Drama, Fantasy, Romance",Gonzo,2007
6702,Fairy Tail,TV,175.0,7.57,1714.0,54,1800839,Manga,24 min per ep,"Action, Adventure, Fantasy","Satelight, A-1 Pictures",2009
132,Getbackers,TV,49.0,7.57,1719.0,1905,126089,Manga,24 min per ep,"Action, Mystery, Supernatural",Studio Deen,2002
57264,Apotheosis 2nd Season,ONA,52.0,7.56,1727.0,12840,1558,Web novel,21 min per ep,"Action, Adventure, Fantasy",Qingxiang Culture,2023
56662,TRILLION GAME,TV,26.0,7.56,1758.0,4589,27319,Manga,24 min per ep,Drama,Madhouse,2024
55528,Brave Bang Bravern!,TV,12.0,7.56,1768.0,4200,33212,Original,23 min per ep,"Action, Comedy, Sci-Fi",CygamesPictures,2024
54865,Blue Lock Season 2,TV,14.0,7.56,1729.0,947,276792,Manga,23 min per ep,Sports,8bit,2024
53590,The Weakest Tamer Began a Journey to Pick Up Trash,TV,12.0,7.56,1751.0,1955,122125,Light novel,23 min per ep,"Adventure, Fantasy",Studio Massket,2024
10935,Wandering Son Specials,Special,2.0,7.56,1737.0,6715,10490,Manga,23 min per ep,"Drama, Romance",AIC Classic,2011
23321,Log Horizon 2,TV,25.0,7.56,1743.0,367,634334,Light novel,24 min per ep,"Action, Adventure, Fantasy",Studio Deen,2014
33253,Ajin: Demi-Human 2nd Season,TV,13.0,7.56,1725.0,869,306405,Manga,24 min per ep,"Action, Horror, Mystery, Supernatural",Polygon Pictures,2016
21435,Encouragement of Climb Season 2,TV,24.0,7.56,1763.0,3920,38138,Manga,13 min per ep,"Adventure, Slice of Life",8bit,2014
40221,Tower of God,TV,13.0,7.56,1738.0,168,1025395,Web manga,23 min per ep,"Action, Adventure, Drama, Fantasy, Mystery",Telecom Animation Film,2020
39355,RADIANT Season 2,TV,21.0,7.56,1748.0,2035,116495,Other,24 min per ep,"Action, Adventure, Fantasy",Lerche,2019
29854,Ushio & Tora (2015),TV,26.0,7.56,1760.0,1133,234284,Manga,24 min per ep,"Action, Adventure, Supernatural","MAPPA, Studio VOLN",2015
7647,Arakawa Under the Bridge,TV,13.0,7.56,1726.0,701,365737,Manga,24 min per ep,"Comedy, Romance",Shaft,2010
44388,Blades of the Guardians,ONA,15.0,7.56,1728.0,3915,38208,Manga,20 min per ep,Action,Colored Pencil Animation,2023
10495,YuruYuri: Happy Go Lily,TV,12.0,7.56,1767.0,745,347020,Manga,23 min per ep,"Award Winning, Comedy, Girls Love",Doga Kobo,2011
43299,Wonder Egg Priority,TV,12.0,7.56,1761.0,264,799289,Original,23 min per ep,"Drama, Supernatural, Suspense",CloverWorks,2021
4725,Ga-Rei-Zero,TV,12.0,7.56,1732.0,1066,247164,Manga,23 min per ep,"Action, Supernatural, Suspense","AIC Spirits, asread.",2008
5507,Valkyria Chronicles,TV,26.0,7.56,1751.0,1807,135360,Game,24 min per ep,"Action, Romance",A-1 Pictures,2009
18897,Nisekoi: False Love,TV,20.0,7.56,1747.0,125,1213087,Manga,24 min per ep,"Comedy, Romance",Shaft,2014
49573,YaShe,ONA,12.0,7.56,1762.0,9768,3980,Novel,23 min per ep,"Mystery, Supernatural",Colored Pencil Animation,2024
49759,Jade Dynasty,ONA,26.0,7.56,1768.0,9307,4599,Web novel,22 min per ep,"Adventure, Fantasy",Cloud Art,2022
2229,Dragon Quest: The Adventure of Dai,TV,46.0,7.56,1729.0,4724,25516,Manga,24 min per ep,"Action, Adventure, Fantasy",Toei Animation,1991
1289,Mobile Police Patlabor: The New Files,OVA,16.0,7.56,1741.0,6318,12119,Original,25 min per ep,"Comedy, Sci-Fi",Sunrise,1990
40571,Wandering Witch: The Journey of Elaina,TV,12.0,7.56,1744.0,571,434366,Light novel,24 min per ep,"Adventure, Fantasy",C2C,2020
53865,Mission: Yozakura Family,TV,27.0,7.55,1781.0,1827,133341,Manga,24 min per ep,"Action, Comedy",SILVER LINK.,2024
51815,Kubo Won't Let Me Be Invisible,TV,12.0,7.55,1805.0,1135,233326,Manga,24 min per ep,"Comedy, Romance",PINE JAM,2023
33091,Planetarian: The Reverie of a Little Planet,ONA,5.0,7.55,1814.0,2257,100045,Visual novel,18 min per ep,"Drama, Sci-Fi",David Production,2016
50114,Dragon Prince Yuan,ONA,26.0,7.55,1781.0,11355,2469,Web novel,20 min per ep,"Action, Adventure, Fantasy",Motion Magic,2024
27991,K: Return of Kings,TV,13.0,7.55,1799.0,757,342919,Original,24 min per ep,Action,GoHands,2015
